id,places,daycare_centers
011001,768,10
011002,1001,13
011003,3577,41
011004,2142,27
012005,1927,39
012006,2158,38
013007,2261,39
013008,2477,35
014009,2498,51
014010,3050,61
021001,2094,27
022002,3585,79
023003,1474,31
023004,1695,35
024005,1499,18
024006,1320,18
025007,1803,31
025008,2660,43
031001,1344,14
032002,2166,38
032003,1204,16
033004,1424,18
033005,559,7
034006,1259,17
034007,2912,48
034008,1831,21
035009,2496,42
035010,846,7
036011,1550,33
036012,1508,17
036013,1149,25
036014,1903,18
037015,1322,20
037016,1706,37
041001,792,8
042002,487,12
042003,1187,18
043004,2033,47
043005,909,19
043006,1879,38
044007,907,13
044008,1358,19
045009,1163,24
045010,1091,18
045011,2254,61
051001,1336,16
051002,1900,22
051003,2062,25
052004,1093,13
052005,1926,16
052006,1592,29
053007,994,12
053008,754,10
054009,1117,15
061001,972,20
061002,1691,30
062003,1981,29
062004,1807,20
063005,1740,21
063006,2373,35
064007,1170,17
064008,2163,28
071001,1031,17
071002,937,17
072003,674,12
072004,2119,41
073005,1304,27
073006,1237,20
074007,834,12
074008,1605,32
074009,708,9
075010,1600,20
075011,1113,11
076012,1169,14
076013,672,10
076014,1151,15
076015,1542,23
081001,2004,39
081002,2304,43
081003,1672,34
081004,1895,35
081005,702,6
082006,1033,14
082007,1365,21
082008,1435,14
083009,751,10
083010,858,8
084011,274,3
084012,1928,22
091001,825,11
091002,375,5
091003,662,13
091004,1297,17
092005,1442,21
092006,956,16
092007,1018,15
092008,803,9
093009,1850,20
093010,669,9
093011,537,7
093012,134,4
094013,705,7
094014,477,5
094015,505,8
094016,235,3
095017,1153,15
095018,550,9
095019,697,11
095020,609,6
101001,1444,14
101002,2716,23
101003,2289,20
102004,2738,26
102005,1231,12
102006,1584,13
103007,1653,21
104008,924,12
104009,1414,19
111001,400,5
111002,2018,16
111003,1560,12
112004,941,9
112005,2105,16
113006,2157,18
113007,1771,18
113008,786,5
114009,1911,26
114010,832,6
114011,1344,10
115012,360,4
115013,2025,29
121001,1313,13
121002,1257,21
122003,1225,18
122004,540,6
122005,656,9
124006,933,14
124007,1424,26
125008,665,11
125009,1761,25
126010,706,7
126011,1132,10
126012,707,8
