id,places,daycare_centers
0110,6038,62
0120,4051,76
0130,4777,74
0140,5523,111
0210,2094,27
0220,3579,79
0230,3169,66
0240,2819,36
0250,4463,74
0310,1344,14
0320,3277,53
0330,1983,25
0340,6009,85
0350,3312,48
0360,6170,94
0370,2966,57
0410,792,8
0420,1648,29
0430,4844,105
0440,2265,32
0450,4507,103
0510,5373,64
0520,4571,58
0530,1746,22
0540,1117,15
0610,2663,50
0620,3766,49
0630,4113,56
0640,3349,46
0710,1968,34
0720,2811,54
0730,2540,47
0740,3147,53
0750,2713,31
0760,4508,61
0810,8607,157
0820,3830,49
0830,1609,18
0840,2204,25
0910,3094,44
0920,4179,60
0930,3190,40
0940,1922,23
0950,3008,41
1010,6384,56
1020,5411,50
1030,1653,21
1040,2338,31
1110,3878,32
1120,2996,24
1130,4689,40
1140,4082,42
1150,2385,33
1210,2569,34
1220,2421,33
1240,2327,40
1250,2426,36
1260,2545,25
