id,name,phone_number,places,type,sponsor_id,sponsor_name,street,zip_code,lat,lon
01010010,Kita F.A.I.R.play,+49302816473,69,Reguläre Einrichtung,1224,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,Albrechtstr. 20,10117,52.52251612724968,13.384392505580408
01010020,Kita Kinderwelt,+49302291378,155,Reguläre Einrichtung,1334,Forum Soziale Dienste GmbH,An der Kolonnade 3,10117,52.511749694313565,13.382118656947435
01010030,FRÖBEL Kindergarten Casa Fantasia,+493048495184,69,Reguläre Einrichtung,1227,Fröbel Bildung und Erziehung gGmbH,Anklamer Str. 38,10115,52.53523001756867,13.399251221980776
01010080,Kita Regenbogen,+49304493238,91,Reguläre Einrichtung,1202,Pfefferwerk Stadtkultur gGmbH,Fehrbelliner Str. 80,10119,52.532122718140954,13.404978544460244
01010100,"FRÖBEL Kindergarten ""Schatzinsel""",+49302013788,234,Reguläre Einrichtung,1227,Fröbel Bildung und Erziehung gGmbH,Fischerinsel 8,10179,52.51230194007616,13.405580025873583
01010110,Kita Französische Str. 16a u. 16b,+49302089214,180,Reguläre Einrichtung,1318,Kinder im Kiez gGmbH,Französische Str. 16,10117,52.51452364217884,13.38799578994529
01010130,Kita Pelikan,+4930403662090,190,Reguläre Einrichtung,1339,Kinder- und Jugend der Volkssolidarität Berlin gGmbH,Friedrichstr. 129F,10117,52.52577081099956,13.384320232384775
01010150,Kita Gartenstr. 107/Kigä City,+49302828337,140,Reguläre Einrichtung,0120,Kindergärten City,Gartenstr. 107,10115,52.52971028299997,13.392079171252853
01010170,Kita Kinderakademie,+49302824496,150,Reguläre Einrichtung,1224,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,Habersaathstr. 13,10115,52.53115904705602,13.375183660451356
01010180,Lichtenberger Straße 32/33,+49302492179,190,Reguläre Einrichtung,0120,Kindergärten City,Lichtenberger Str. 32,10179,52.51514661206348,13.423893313473759
01010200,Kita Jerusalemer Str. 10/12/Kigä City,+493020216803,185,Reguläre Einrichtung,0120,Kindergärten City,Jerusalemer Str. 10,10117,52.51188320191627,13.39688139158029
01010210,Kita Kleine Auguststr. 10/11Kigä City,+49302826045,220,Reguläre Einrichtung,0120,Kindergärten City,Kleine Auguststr. 11,10119,52.52806484440291,13.39916978462553
01010250,Kita Max-Beer-Str. 24/26/Kigä City,+49302476849,200,Reguläre Einrichtung,0120,Kindergärten City,Max-Beer-Str. 24,10119,52.52599911447672,13.408800275391574
01010280,"FRÖBEL Kindergarten ""Traumzauberbaum""",+49302419156,240,Reguläre Einrichtung,1227,Fröbel Bildung und Erziehung gGmbH,Mollstr. 7A,10178,52.5233631529765,13.421234809727638
01010330,Kita Umka,+493017683176995,65,Reguläre Einrichtung,8368,MITRA bilinguale Kindergärten gemeinnützige GmbH,Leipziger Str. 47,10117,52.510196737591656,13.39763094927155
01010360,Kita Schwedter Straße,+49304493459,120,Reguläre Einrichtung,1318,Kinder im Kiez gGmbH,Schwedter Str. 232,10435,52.53862928448672,13.404292954188215
01010390,Kita Pfiffikus,+4930283057224,150,Reguläre Einrichtung,1205,BIK e.V. Berliner Institut für Kleinkindpädagogik und familienbegleitende Kinderbetreuung,Rückerstr. 2,10119,52.527719627881886,13.407101725049557
01010410,Kita Trauminsel,+49302794009,85,Reguläre Einrichtung,1334,Forum Soziale Dienste GmbH,Schmidstr. 2,10179,52.50882128959282,13.418763253678739
