id,places,daycare_centers
0110,7513,92
0120,4085,77
0130,4738,74
0140,5548,112
0210,2094,27
0220,3585,79
0230,3169,66
0240,2804,36
0250,4463,74
0310,1344,14
0320,3370,54
0330,1983,25
0340,6002,86
0350,3342,49
0360,6110,93
0370,3009,56
0410,792,8
0420,1678,30
0430,4846,105
0440,2265,32
0450,4508,103
0510,5298,63
0520,4611,59
0530,1773,22
0540,1117,15
0610,2598,49
0620,3788,49
0630,4114,56
0640,3345,46
0710,1968,34
0720,2793,53
0730,2541,47
0740,3149,53
0750,2713,31
0760,4534,62
0810,8577,157
0820,3835,49
0830,1609,18
0840,2202,25
0910,3159,46
0920,4220,61
0930,3190,40
0940,1922,23
0950,3009,41
1010,6449,57
1020,5568,51
1030,1653,21
1040,2338,31
1110,3978,33
1120,3047,25
1130,4714,41
1140,4087,42
1150,2385,33
1210,2570,34
1220,2421,33
1240,2357,40
1250,2426,36
1260,2545,25
